id,titulo,descripcion,tecnica,medidas,anio,imagenes,orden,created_at,categoria,serie,price,is_available,show_price
34,dibujo,,lapiz sobre papel 200 g,"17,5 x 25 cm",2025,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/dibujo-1759094125543-IMG20250911114813068HDR.jpg"",""path"":""images/dibujo-1759094125543-IMG20250911114813068HDR.jpg"",""originalName"":""IMG_20250911_114813068_HDR.jpg""}]",52,2025-09-28 21:15:28.004492+00,dibujo,personajes,50000,true,true
35,sueño,"tirada de 12 impresiones
 tamaño de papel 25 x 32,5 cm 200 g
5 disponibles",linoleo,15 x 20 cm superficie impresa,2022,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/sue-o-1759095773822-20241113124157.jpg"",""path"":""images/sue-o-1759095773822-20241113124157.jpg"",""originalName"":""20241113_124157.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/sue-o-1759095776928-20241113124150.jpg"",""path"":""images/sue-o-1759095776928-20241113124150.jpg"",""originalName"":""20241113_124150.jpg""}]",54,2025-09-28 21:43:00.069632+00,grabado,paisajes,13000,true,true
36,por el valle,,aerosol sobre lienzo,80 x 120 cm,2025,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/por-el-valle-1759096295973-IMG20250823164558089.jpg"",""path"":""images/por-el-valle-1759096295973-IMG20250823164558089.jpg"",""originalName"":""IMG_20250823_164558089.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/por-el-valle-1759096297663-IMG20250823164528408.jpg"",""path"":""images/por-el-valle-1759096297663-IMG20250823164528408.jpg"",""originalName"":""IMG_20250823_164528408.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/por-el-valle-1759096298426-IMG20250822134100964.jpg"",""path"":""images/por-el-valle-1759096298426-IMG20250822134100964.jpg"",""originalName"":""IMG_20250822_134100964.jpg""}]",33,2025-09-28 21:51:40.464745+00,pintura,paisajes,300000,true,true
37,oportunidades,sin marco,tinta y lapiz de color sobre papel,21 x 29 cm,2018,"[{""name"":""undefined"",""path"":""images/oportunidades-1759096720779-202302091128472.jpg""},{""name"":""undefined"",""path"":""images/oportunidades-1759096717189-202302091130022.jpg""},{""name"":""undefined"",""path"":""images/oportunidades-1759096719393-202302091129092.jpg""}]",55,2025-09-28 21:58:42.130444+00,dibujo,urbano,70000,true,true
38,La otra cuidad,sin marco,Óleo sobre papel escenográfico,"83,5 x 113,5 cm",2017,"[{""name"":""undefined"",""path"":""images/la-otra-cuidad-1759114326863-IMG20250928213634793HDR.jpg""},{""name"":""undefined"",""path"":""images/la-otra-cuidad-1759114322546-IMG20250928213614208HDR2.jpg""},{""name"":""undefined"",""path"":""images/la-otra-cuidad-1759114332170-IMG20250928213623829HDR.jpg""}]",56,2025-09-29 02:52:17.98163+00,pintura,urbano,200000,true,true
43,"Playa Union ",Enmarcado en madera 4 cm de profundidad,acrilico sobre madera,"31,5 x 21,5 cm",2025,"[{""name"":""playa union escollera.jpg"",""path"":""obras/43_1760022732188.jpg""},{""name"":""Artboard 1.jpg"",""path"":""obras/43_1760022732185.jpg""}]",5,2025-10-09 15:12:12.185353+00,pintura,paisajes,200000,true,true
44,espinas en las manos,"Enmarcado en madera de 3 cm de profundidad
","mixta de pintura, grabado y collage",35 x 50 cm,2025,"[{""name"":""espinas en las manos 2.jpg"",""path"":""obras/44_1760022924613.jpg""},{""name"":""espinas en las manos.jpg"",""path"":""obras/44_1760022924613.jpg""}]",9,2025-10-09 15:15:24.72586+00,pintura,paisajes,250000,true,true
45,paisaje circular,"monocopia 1/1
parte impresa 34 x 34 cm",grabado,42 x 46 cm,2025,"[{""name"":""grabado circulo.jpg"",""path"":""obras/45_1760025073553.jpg""}]",14,2025-10-09 15:51:13.623224+00,grabado,paisajes,30000,true,true
46,Niño de Moreira,"obra en papel, sin marco",acrilico sobre papel,100 x 70 cm,2014,"[{""name"":""niño de moreira.jpg"",""path"":""obras/46_1760044958546.jpg""}]",57,2025-10-09 21:22:39.100441+00,pintura,urbano,450000,true,false
47,Asentamiento,,acrilico sobre madera,110 x 74 cm,2014,"[{""name"":""asentamiento.jpg"",""path"":""obras/47_1760045475511.jpg""}]",58,2025-10-09 21:31:16.182523+00,pintura,urbano,,false,false
48,Guanaco,,oleo sobre papel,35 x 50 cm,2015,"[{""name"":""guanaco.jpg"",""path"":""obras/48_1760045674190.jpg""}]",59,2025-10-09 21:34:34.924074+00,pintura,detrás del alambrado,,false,false
49,"paisaje ",,acrilico y tiza pastel sobre tela,,2015,"[{""name"":""detras del alambrado paisaje.jpg"",""path"":""obras/49_1760047046672.jpg""}]",60,2025-10-09 21:57:27.191851+00,pintura,detrás del alambrado,,false,false
50,Alambrando,retrato imaginario de mi abuelo,tinta y grafito sobre papel martillado,,2015,"[{""name"":""abuelo alambrado.jpg"",""path"":""obras/50_1760047113492.jpg""}]",61,2025-10-09 21:58:34.070725+00,dibujo,detrás del alambrado,,false,false
51,"Valle fantasía ",,"Acrílico sobre madera ",61 x 42 cm,2025,"[{""name"":""IMG_20251015_191151214_HDR~2.jpg"",""path"":""obras/51_1760921519904.jpg""},{""name"":""IMG_20251015_191421049_HDR~2.jpg"",""path"":""obras/51_1760921730519.jpg""},{""name"":""IMG_20251015_191415912_HDR~2.jpg"",""path"":""obras/51_1760921730520.jpg""}]",15,2025-10-20 00:52:00.275539+00,pintura,paisajes,350000,false,true
52,Valle fertil,,Oleo sobre madera,"31,5 x 21,5 cm",2023,"[{""name"":""20240918_101121~2.jpg"",""path"":""obras/52_1760922569855.jpg""}]",53,2025-10-20 01:09:30.192368+00,pintura,paisajes,,false,false
53,distintas lunas,"grabados con variaciones, 5 impresiones",impresion sobre papel,42 x 49 cm,2025,"[{""name"":""IMG_20251019_092641150_HDR~3.jpg"",""path"":""obras/53_IMG_20251019_092641150_HDR_3_1761179158508.jpg""},{""name"":""IMG_20251021_085102065_HDR~2.jpg"",""path"":""obras/53_IMG_20251021_085102065_HDR_2_1761179158510.jpg""},{""name"":""IMG_20251019_093137080_HDR~2.jpg"",""path"":""obras/53_IMG_20251019_093137080_HDR_2_1761179158509.jpg""},{""name"":""IMG_20251021_084635164_HDR~2.jpg"",""path"":""obras/53_IMG_20251021_084635164_HDR_2_1761179158509.jpg""}]",2,2025-10-23 00:25:58.488812+00,grabado,,30000,true,true
54,caminamos hacia la tormenta,,oleo sobre madera,35 x 50,2023,"[{""name"":""IMG_20250924_113721518_HDR~3.jpg"",""path"":""obras/54_IMG_20250924_113721518_HDR_3_1761181860825.jpg""},{""name"":""IMG_20250924_113608305_HDR~2.jpg"",""path"":""obras/54_IMG_20250924_113608305_HDR_2_1761181860823.jpg""}]",26,2025-10-23 01:11:00.948864+00,pintura,paisajes,300000,false,true
55,construcción,"serie de 20 impresiones
ultima disponible",serigrafia,42 x 60,2019,"[{""name"":""IMG_20250923_123022910_HDR~2.jpg"",""path"":""obras/55_IMG_20250923_123022910_HDR_2_1761182228842.jpg""},{""name"":""IMG_20250923_123033231_HDR.jpg"",""path"":""obras/55_IMG_20250923_123033231_HDR_1761182228842.jpg""},{""name"":""IMG_20250923_123044390_HDR.jpg"",""path"":""obras/55_IMG_20250923_123044390_HDR_1761182228842.jpg""}]",27,2025-10-23 01:17:08.897968+00,grabado,urbano,35000,true,true
56,"protege ","aerosol, lapices, collage, marcadores. 
Enmarcado ",mixta,21 x 31 cm,2024,"[{""name"":""IMG_20250924_203739875_HDR~2.jpg"",""path"":""obras/56_IMG_20250924_203739875_HDR_2_1761183716440.jpg""},{""name"":""IMG_20250924_203749873_HDR.jpg"",""path"":""obras/56_IMG_20250924_203749873_HDR_1761183716442.jpg""}]",24,2025-10-23 01:23:13.417427+00,pintura,personajes,200000,true,true
57,carteles tipograficos,impreso sobre papel gramaje 210 libre de acido,impresion tipografica,A4,2025,"[{""name"":""20250723_115247~2.jpg"",""path"":""obras/57_20250723_115247_2_1761182802894.jpg""},{""name"":""20250627_105105~2.jpg"",""path"":""obras/57_20250627_105105_2_1761182802894.jpg""}]",23,2025-10-23 01:26:43.091198+00,grabado,,7000,true,true
58,ambición que quema,,acrilico sobre madera,21 x 31 cm,2025,"[{""name"":""20250206_155642.jpg"",""path"":""obras/58_20250206_155642_1761183052337.jpg""},{""name"":""20250411_085637~2.jpg"",""path"":""obras/58_20250411_085637_2_1761183052337.jpg""}]",32,2025-10-23 01:30:52.512074+00,pintura,paisajes,,false,false
59,juntando flores,,acrilico sobre madera,"31 x 22,5",2022,"[{""name"":""20250411_085356~5.jpg"",""path"":""obras/59_20250411_085356_5_1761183245871.jpg""},{""name"":""20250411_085356~4.jpg"",""path"":""obras/59_20250411_085356_4_1761183245871.jpg""}]",28,2025-10-23 01:34:05.912889+00,pintura,paisajes,170000,false,true
60,molinos,sin enmarcar,oleo y tinta sobre papel,35 x 50 cm,2015,"[{""name"":""IMG_20250923_123323401_HDR~2.jpg"",""path"":""obras/60_IMG_20250923_123323401_HDR_2_1761184009789.jpg""},{""name"":""IMG_20250923_123352334_HDR.jpg"",""path"":""obras/60_IMG_20250923_123352334_HDR_1761184009789.jpg""},{""name"":""IMG_20250923_123415494_HDR.jpg"",""path"":""obras/60_IMG_20250923_123415494_HDR_1761184009789.jpg""}]",30,2025-10-23 01:46:50.073837+00,pintura,paisajes,90000,true,true
61,Escollera Playa Union,,acrilico sobre madera,"31,5 x 21,5 cm",2025,"[{""name"":""IMG_20251023_101129845_HDR~2.jpg"",""path"":""obras/61_IMG_20251023_101129845_HDR_2_1761225825649.jpg""},{""name"":""IMG_20251023_101026798_HDR~2.jpg"",""path"":""obras/61_IMG_20251023_101026798_HDR_2_1761225825646.jpg""}]",0,2025-10-23 13:23:45.625934+00,pintura,paisajes,200000,true,true
62,Dibujo y vicios,,tinta sobre papel acuarela 270 g,21 x 28 cm,2022,"[{""name"":""IMG_20251023_164557874_HDR~2.jpg"",""path"":""obras/62_IMG_20251023_164557874_HDR_2_1761252660115.jpg""},{""name"":""IMG_20251023_164621175_HDR~2.jpg"",""path"":""obras/62_IMG_20251023_164621175_HDR_2_1761252660107.jpg""}]",13,2025-10-23 20:51:32.373599+00,dibujo,personajes,70000,true,true
63,"Construccion ",,Acuarelas y tinta sobre papel acuarela 240,17 x 25 cm,2023,"[{""name"":""IMG_20251023_164337849_HDR~2.jpg"",""path"":""obras/63_IMG_20251023_164337849_HDR_2_1761252872561.jpg""},{""name"":""IMG_20251023_164348668_HDR~2.jpg"",""path"":""obras/63_IMG_20251023_164348668_HDR_2_1761252872561.jpg""}]",10,2025-10-23 20:55:04.712618+00,dibujo,urbano,50000,true,true
64,"Construcción amarillo ",,Acrilico y tinta sobre papel acuarela 270 g,21 x 28 cm,2023,"[{""name"":""IMG_20251023_164049728_HDR~2.jpg"",""path"":""obras/64_IMG_20251023_164049728_HDR_2_1761253208346.jpg""},{""name"":""IMG_20251023_164119152_HDR.jpg"",""path"":""obras/64_IMG_20251023_164119152_HDR_1761253208347.jpg""}]",18,2025-10-23 21:00:40.65784+00,dibujo,urbano,70000,true,true
65,Casa,"Monocopia unica disponible ",Grabado sobre papel 240 g,35 x 50 cm,2024,"[{""name"":""IMG_20251023_163639140_HDR~2.jpg"",""path"":""obras/65_IMG_20251023_163639140_HDR_2_1761253411350.jpg""},{""name"":""IMG_20251023_163722671_HDR~2.jpg"",""path"":""obras/65_IMG_20251023_163722671_HDR_2_1761253411345.jpg""}]",7,2025-10-23 21:03:31.597702+00,grabado,paisajes,30000,true,true
66,Donde esta tu hogar?,"Serie de 2 impresiones 
Última disponible ",Monocopia sobre papel 210 g,40 x 30 cm (parte impresa),2024,"[{""name"":""IMG_20251023_163402520_HDR~2.jpg"",""path"":""obras/66_IMG_20251023_163402520_HDR_2_1761253639587.jpg""},{""name"":""IMG_20251023_163402520_HDR~3.jpg"",""path"":""obras/66_IMG_20251023_163402520_HDR_3_1761253639584.jpg""}]",3,2025-10-23 21:07:19.85269+00,grabado,personajes,40000,true,true
67,"Los numeros ",,tinta sobre papel acuarela 270 g,21 x 28 cm,2022,"[{""name"":""IMG_20251023_164943683_HDR.jpg"",""path"":""obras/67_IMG_20251023_164943683_HDR_1761253775992.jpg""},{""name"":""IMG_20251023_164954557_HDR.jpg"",""path"":""obras/67_IMG_20251023_164954557_HDR_1761253775982.jpg""}]",4,2025-10-23 21:09:36.328981+00,dibujo,personajes,60000,true,true
68,"Duende musiquero ",,Carbonilla y oleo sobre papel 90 g,21 x 28 cm,2022,"[{""name"":""IMG_20251023_165621773_HDR~2.jpg"",""path"":""obras/68_IMG_20251023_165621773_HDR_2_1761254999986.jpg""},{""name"":""IMG_20251023_165631880_HDR~2.jpg"",""path"":""obras/68_IMG_20251023_165631880_HDR_2_1761254999993.jpg""}]",8,2025-10-23 21:30:00.192474+00,dibujo,personajes,50000,false,true
69,Hambre 4,,"Acrilico, lapices y acuarela sobre papel 180 g",21 x 29 cm,2022,"[{""name"":""IMG_20251023_164223282_HDR~2.jpg"",""path"":""obras/69_IMG_20251023_164223282_HDR_2_1761255107196.jpg""},{""name"":""IMG_20251023_164239259_HDR~2.jpg"",""path"":""obras/69_IMG_20251023_164239259_HDR_2_1761255107196.jpg""}]",11,2025-10-23 21:31:47.435879+00,dibujo,personajes,80000,true,true
70,En el subte,,Lapicera y acuarela sobre papel,A4,2018,"[{""name"":""IMG_20251023_164411223_HDR~2.jpg"",""path"":""obras/70_IMG_20251023_164411223_HDR_2_1761255318001.jpg""},{""name"":""IMG_20251023_164416582_HDR~2.jpg"",""path"":""obras/70_IMG_20251023_164416582_HDR_2_1761255318000.jpg""}]",25,2025-10-23 21:35:17.558553+00,dibujo,personajes,50000,true,false
71,Florero y casas,"Unica disponible ",Monocopia sobre papel 240 g,35 x 50 cm,2024,"[{""name"":""IMG_20251023_163551206_HDR~2.jpg"",""path"":""obras/71_IMG_20251023_163551206_HDR_2_1761255462320.jpg""}]",20,2025-10-23 21:37:42.501735+00,grabado,Paisaje,30000,true,true
72,Todo lo que llevo,Colección personal,Lapicera y acuarela sobre papel,A4,2019,"[{""name"":""IMG_20251023_164504593_HDR~2.jpg"",""path"":""obras/72_IMG_20251023_164504593_HDR_2_1761255730002.jpg""},{""name"":""IMG_20251023_164516994_HDR~2.jpg"",""path"":""obras/72_IMG_20251023_164516994_HDR_2_1761255729998.jpg""}]",17,2025-10-23 21:42:10.354084+00,dibujo,personajes,,false,false
73,Teníamos todo,Papel canson 270 g,tinta y acuarela,"29,5 x 40 cm",2025,"[{""name"":""IMG_20251024_142230575_HDR~2.jpg"",""path"":""obras/73_IMG_20251024_142230575_HDR_2_1761327056104.jpg""},{""name"":""IMG_20251024_142252926_HDR~2.jpg"",""path"":""obras/73_IMG_20251024_142252926_HDR_2_1761327056111.jpg""},{""name"":""IMG_20251024_142329184_HDR.jpg"",""path"":""obras/73_IMG_20251024_142329184_HDR_1761327056112.jpg""}]",0,2025-10-24 17:30:56.590661+00,dibujo,urbano,100000,true,true
74,esperado naufragar,Papel acuarela 270g,Acuarelas y tinta sobre papel,"29,5 x 40 cm",2025,"[{""name"":""IMG_20251024_175831598_HDR~2.jpg"",""path"":""obras/74_IMG_20251024_175831598_HDR_2_1761340040677.jpg""},{""name"":""IMG_20251024_175655820_HDR~2.jpg"",""path"":""obras/74_IMG_20251024_175655820_HDR_2_1761340040664.jpg""},{""name"":""IMG_20251024_175742804_HDR.jpg"",""path"":""obras/74_IMG_20251024_175742804_HDR_1761340040678.jpg""}]",0,2025-10-24 21:07:21.139568+00,dibujo,urbano,110000,false,true
75,Nada es lo que parece,"Papel Cansón 270g ",tinta y acuarela,"29,5 x 40 cm",2025,"[{""name"":""IMG_20251109_095834099_HDR~2.jpg"",""path"":""obras/75_IMG_20251109_095834099_HDR_2_1763397733920.jpg""},{""name"":""IMG_20251109_095908110_HDR~2.jpg"",""path"":""obras/75_IMG_20251109_095908110_HDR_2_1763397733890.jpg""},{""name"":""IMG_20251109_095917868_HDR~2.jpg"",""path"":""obras/75_IMG_20251109_095917868_HDR_2_1763397733920.jpg""},{""name"":""IMG_20251109_095931633_HDR~2.jpg"",""path"":""obras/75_IMG_20251109_095931633_HDR_2_1763397733920.jpg""}]",0,2025-11-17 16:42:13.749877+00,dibujo,urbano,100000,true,true
76,"Valle ",Dolavon desde las bardas,acrilico sobre tela,60 x 60 cm,2025,"[{""name"":""IMG_20251119_145348090_HDR~2.jpg"",""path"":""obras/76_IMG_20251119_145348090_HDR_2_1763577904501.jpg""},{""name"":""IMG_20251119_145159044_HDR~2.jpg"",""path"":""obras/76_IMG_20251119_145159044_HDR_2_1763577904481.jpg""},{""name"":""IMG_20251119_145209276_HDR~2.jpg"",""path"":""obras/76_IMG_20251119_145209276_HDR_2_1763577904500.jpg""}]",0,2025-11-19 18:45:04.403237+00,pintura,paisajes,450000,true,true
77,Construcción naranja,"Papel Cansón 270g para acuarela 
(Precio con marco incluido, consultar sin marco)",Tinta sobre papel 270g,"37,5 x 47 cm",2025,"[{""name"":""IMG_20251126_124748292_HDR~2.jpg"",""path"":""obras/77_IMG_20251126_124748292_HDR_2_1764185819399.jpg""},{""name"":""IMG_20251126_125904283_HDR~2.jpg"",""path"":""obras/77_IMG_20251126_125904283_HDR_2_1764185819398.jpg""},{""name"":""IMG_20251126_124757986_HDR~2.jpg"",""path"":""obras/77_IMG_20251126_124757986_HDR_2_1764185819394.jpg""},{""name"":""IMG_20251126_125923514_HDR~2.jpg"",""path"":""obras/77_IMG_20251126_125923514_HDR_2_1764185819399.jpg""}]",0,2025-11-26 19:36:59.924452+00,dibujo,urbano,150000,true,true
78,"Paisaje lluvioso ",,acrilico sobre lienzo,20 x 20 cm,2025,"[{""name"":""IMG_20251203_102637959_HDR~2.jpg"",""path"":""obras/78_IMG_20251203_102637959_HDR_2_1764771862278.jpg""},{""name"":""IMG_20251203_102653155_HDR~2.jpg"",""path"":""obras/78_IMG_20251203_102653155_HDR_2_1764771862270.jpg""},{""name"":""IMG_20251203_102842923_HDR~2.jpg"",""path"":""obras/78_IMG_20251203_102842923_HDR_2_1764771862277.jpg""}]",0,2025-12-03 14:24:23.153579+00,pintura,paisajes,100000,true,true
79,"Paisaje chubutense ",,acrilico sobre lienzo,100 x 130 cm,2025,"[{""name"":""IMG_20251201_104434443_HDR~2.jpg"",""path"":""obras/79_IMG_20251201_104434443_HDR_2_1764773242299.jpg""},{""name"":""IMG_20251201_105321037_HDR~2.jpg"",""path"":""obras/79_IMG_20251201_105321037_HDR_2_1764773242277.jpg""},{""name"":""IMG_20251201_105345453_HDR~2.jpg"",""path"":""obras/79_IMG_20251201_105345453_HDR_2_1764773242298.jpg""},{""name"":""IMG_20251201_105303887_HDR~2.jpg"",""path"":""obras/79_IMG_20251201_105303887_HDR_2_1764773242298.jpg""},{""name"":""IMG_20251201_104847381_HDR~2.jpg"",""path"":""obras/79_IMG_20251201_104847381_HDR_2_1764773242299.jpg""}]",0,2025-12-03 14:47:27.207259+00,pintura,paisajes,1200000,true,true